frequency - Sound Pressure_29 (FFT - (RMS) Phase)	Amplitude - Sound Pressure_29 (FFT - (RMS) Phase)	frequency - Acceleration (FFT - (RMS) Phase)	Amplitude - Acceleration (FFT - (RMS) Phase)
308.224003	1.36224	308.224003	-0.224325
308.736003	-1.5074	308.736003	0.534506
309.248003	0.0598599	309.248003	2.58154
309.760003	2.79312	309.760003	-1.80314
310.272003	-0.476538	310.272003	0.273982
310.784003	2.8453	310.784003	2.84566
311.296003	0.241366	311.296003	-0.980809
311.808003	-0.368227	311.808003	2.29652
312.320003	-2.84117	312.320003	-1.49274
312.832003	-0.505861	312.832003	-0.75526
313.344003	2.79607	313.344003	1.13301
313.856003	1.54334	313.856003	-2.06045
314.368003	-1.00621	314.368003	1.85681
314.880004	1.14551	314.880004	-1.07069
315.392004	2.60863	315.392004	-1.34856
315.904004	-0.896011	315.904004	1.3111
316.416004	2.68914	316.416004	-1.75082
316.928004	1.45448	316.928004	1.45975
317.440004	1.37911	317.440004	-1.02959
317.952004	-0.642689	317.952004	2.18708
318.464004	2.90529	318.464004	-2.43032
318.976004	-0.206159	318.976004	0.914827
319.488004	-0.657319	319.488004	-2.47496
320.000004	1.57776	320.000004	-1.4896
320.512004	-2.80952	320.512004	2.7539
321.024004	0.0472517	321.024004	-0.239373
321.536004	-2.9674	321.536004	1.63781
322.048004	2.78301	322.048004	-2.60234
322.560004	1.98431	322.560004	-0.621507
323.072004	-1.08531	323.072004	0.6747
323.584004	-1.72981	323.584004	2.74606
324.096004	1.31127	324.096004	-1.11522
324.608004	-2.33213	324.608004	-0.205411
325.120004	0.832863	325.120004	2.37814
325.632004	-2.72613	325.632004	-2.22407
326.144004	-0.139695	326.144004	-0.629156
326.656004	1.88011	326.656004	1.95182
327.168004	-2.18135	327.168004	1.50704
327.680004	0.37022	327.680004	-1.27226
328.192004	-2.1431	328.192004	-0.520793
328.704004	0.276442	328.704004	1.58412
329.216004	2.82185	329.216004	-2.37417
329.728004	0.178082	329.728004	0.270591
330.240004	-2.14202	330.240004	2.93457
330.752004	1.96353	330.752004	-1.09204
331.264004	-0.38978	331.264004	0.532182
331.776004	2.9745	331.776004	2.94009
332.288004	1.93774	332.288004	-0.833984
332.800004	-2.4585	332.800004	1.45442
